0,2.2,2,,x (in G's),y (in G's),z (in G's)
445,2,2,,0.117508,-0.828964,-0.579468
446,2,2,,0.127899,-0.840317,-0.573135
447,2,2,,0.116928,-0.84259,-0.567078
448,2,2,,0.126053,-0.82515,-0.579666
449,2,2,,0.1008,-0.821686,-0.573135
450,2,2,,0.081604,-0.831635,-0.572601
451,2,2,,0.075119,-0.854202,-0.583969
452,2,2,,0.062881,-0.822128,-0.592194
453,2,2,,0.072021,-0.819824,-0.577515
454,2,2,,0.067734,-0.820694,-0.570969
455,2,2,,0.109406,-0.857269,-0.59314
456,2,2,,0.124237,-0.871506,-0.611145
457,2,2,,0.13588,-0.836609,-0.555283
458,2,2,,0.114639,-0.839157,-0.543335
459,2,2,,0.08812,-0.853729,-0.561234
460,2,2,,0.078812,-0.820114,-0.563858
461,2,2,,0.073776,-0.837738,-0.555008
462,2,2,,0.088623,-0.852478,-0.567001
463,2,2,,0.097336,-0.8564,-0.579391
464,2,2,,0.064697,-0.845398,-0.590546
465,2,2,,0.060074,-0.8255,-0.564438
466,2,2,,0.070236,-0.839233,-0.536148
467,2.2,2,,0.091217,-0.880478,-0.579285
468,2,2,,0.10762,-0.88446,-0.612869
469,2,2,,0.090256,-0.829193,-0.584641
470,1.5,2,,0.073624,-0.813019,-0.515793
471,2,2,,0.045227,-0.823868,-0.543167
472,2,2,,0.042725,-0.854218,-0.546646
473,2,2,,0.083191,-0.886551,-0.576172
474,2,2,,0.091324,-0.867737,-0.577515
475,2,2,,0.083649,-0.837296,-0.573944
476,2,2,,0.076324,-0.787933,-0.51619
477,2,2,,0.05748,-0.851257,-0.514984
478,2,2,,0.057098,-0.885757,-0.568054
479,2,2,,0.042862,-0.871506,-0.579468
480,1.9,2,,0.031021,-0.846115,-0.583557
481,2,2,,0.05014,-0.815979,-0.537613
482,2,2,,0.068939,-0.828613,-0.539886
483,2,2,,0.101776,-0.858292,-0.560471
484,2,2,,0.088562,-0.855103,-0.623657
485,2,2,,0.081177,-0.814636,-0.565796
486,2,2,,0.015335,-0.794037,-0.533386
487,2,2,,0.029037,-0.897919,-0.545212
488,2.2,2,,0.055374,-0.886459,-0.574142
489,3,3,,0.084686,-0.847733,-0.595871
490,2,2,,0.098602,-0.786301,-0.52655
491,3.2,3,,0.03595,-0.819427,-0.506744
492,2.7,3,,0.058655,-0.868515,-0.54628
493,2.1,2,,0.060242,-0.888672,-0.610443
494,2,2,,0.045761,-0.817352,-0.608749
495,2,2,,0.000931,-0.773331,-0.529221
496,2,2,,0.028748,-0.889313,-0.508621
497,2.1,2,,0.03569,-0.915283,-0.566757
498,2.2,2,,0.086426,-0.884659,-0.597824
499,2.1,2,,0.082855,-0.771637,-0.561172
500,2,2,,0.065948,-0.805756,-0.471863
501,2.1,2,,0.026108,-0.866074,-0.527725
502,1.8,2,,0.067398,-0.934128,-0.606827
503,2,2,,0.016754,-0.892471,-0.613739
504,2,2,,0.034027,-0.799118,-0.506088
505,1.3,1,,0.045807,-0.808914,-0.48082
506,1.6,2,,0.035736,-0.863861,-0.517517
507,2.6,3,,0.023071,-0.862457,-0.583145
508,1.6,2,,0.033478,-0.878616,-0.538712
509,1.6,2,,0.029739,-0.872192,-0.529938
510,2.9,3,,0.02562,-0.864578,-0.534348
511,1.6,2,,0.017563,-0.828354,-0.508194
512,1.9,2,,0.007645,-0.829666,-0.47789
513,2.3,2,,0.007492,-0.873413,-0.534241
514,2.6,3,,0.029419,-0.880783,-0.57373
515,1.3,1,,0.026627,-0.864792,-0.551956
516,2.2,2,,0.013947,-0.846497,-0.535858
517,2.1,2,,0.05722,-0.827515,-0.507751
518,1.6,2,,0.04306,-0.847214,-0.53717
519,1.3,1,,0.036209,-0.870285,-0.567505
520,1.1,1,,0.042679,-0.857452,-0.517746
521,1.8,2,,0.032074,-0.861771,-0.506134
522,2.9,3,,0.037308,-0.885849,-0.546173
523,1.3,1,,0.032684,-0.851074,-0.547913
524,1.6,2,,0.020355,-0.835846,-0.501846
525,1.3,1,,0.028854,-0.85405,-0.517105
526,1.6,2,,0.025269,-0.887665,-0.540863
527,1.3,1,,0.027252,-0.861282,-0.564346
528,1.8,2,,0.020279,-0.832397,-0.513916
529,1.3,1,,0.040924,-0.862381,-0.497208
530,1.3,1,,0.056213,-0.886734,-0.551666
531,1.6,2,,0.047119,-0.885788,-0.575958
532,1.6,2,,0.009811,-0.837112,-0.496078
533,1.3,1,,0.004105,-0.861618,-0.510773
534,1.3,1,,0.036148,-0.853317,-0.534225
535,1.3,1,,0.02478,-0.848755,-0.568665
536,1.3,1,,0.023453,-0.829651,-0.539383
537,3.2,3,,-0.002121,-0.869812,-0.550369
538,3.2,3,,0.016098,-0.885361,-0.549255
539,2.6,3,,0.012039,-0.853912,-0.533875
540,3.2,3,,0.020187,-0.833374,-0.524185
541,2.9,3,,0.035751,-0.84903,-0.507706
542,2.6,3,,0.02536,-0.892578,-0.549118
543,2.9,3,,-0.00676,-0.886002,-0.580292
544,1.6,2,,-0.012619,-0.861206,-0.54364
545,2.9,3,,-0.013077,-0.881989,-0.550156
546,1.3,1,,0.02803,-0.839905,-0.463013
547,2.3,2,,0.064697,-0.897156,-0.563919
548,2.6,3,,0.058868,-0.847046,-0.562714
549,1.3,1,,0.012436,-0.857788,-0.522293
550,1.6,2,,0.009384,-0.851288,-0.480911
551,2.6,3,,0.012115,-0.87558,-0.485794
552,1.4,1,,0.025314,-0.903961,-0.555603
553,2.2,2,,0.030121,-0.821793,-0.505295
